id,video_id,product_value_focus,visual_main_character,emotional_tone,created_at
3ff769dc-21e8-4a10-a7c9-de586fd740f3,d4a1764a-396f-4d4e-b393-9396fc38a15a,体験・時間,シーン・世界観,チル,2025-12-22 07:01:02.870002+00
874f4048-647a-4ed7-828c-549bd79a3838,9a7038a0-db73-445e-8214-358d44207025,機能・性能,商品そのもの,高揚,2025-12-23 00:18:34.986898+00
